Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDG35,OUT017,2892.5979651135276
FDD08,OUT010,-1255.6224064432452
NCO07,OUT017,3435.9430577466496
FDJ10,OUT010,375.1984175996182
FDW36,OUT017,1785.4017956414687
FDW21,OUT010,-230.94516402129761
FDY19,OUT017,2001.5818874616907
DRE03,OUT013,812.5225079830043
NCC55,OUT049,725.1026863944714
FDH52,OUT010,-817.1851404523959
FDO09,OUT017,4308.15054613977
FDU43,OUT045,3756.5027550161385
FDX09,OUT010,866.2272748886053
FDH40,OUT019,-513.3103090657279
FDW58,OUT017,1797.712279187006
FDC47,OUT017,3685.031749606158
NCR41,OUT035,1653.463002826133
DRG49,OUT035,3997.6462005100666
FDC52,OUT027,3934.440876681856
FDY13,OUT046,1228.7234322227653
FDY35,OUT013,826.7125095026904
FDI35,OUT017,2996.175372233833
NCU18,OUT049,2330.7887654452084
FDY33,OUT018,2282.5839632072607
FDC15,OUT027,3934.6869257173475
FDU01,OUT049,3095.567150815615
NCU42,OUT046,2682.719043669379
NCV29,OUT018,2530.1219406683217
NCY30,OUT017,2985.91260067121
FDQ46,OUT049,1896.049452485107
FDG58,OUT027,3939.712791444923
FDK33,OUT017,3490.959126729814
NCD07,OUT045,1767.7455666868482
NCX29,OUT027,3723.639633842089
NCT42,OUT013,2384.5256490344796
DRN59,OUT035,900.9662389844593
FDI44,OUT035,1423.7295102032062
FDA45,OUT049,2903.7353733902273
FDP31,OUT045,1028.235283432109
FDY01,OUT046,1869.210203843762
FDT09,OUT018,1902.6086246009513
DRH03,OUT027,2968.7203308920934
FDA36,OUT018,2705.8737793121604
NCF31,OUT017,2527.472611537591
FDG14,OUT049,2558.4075425696224
FDG28,OUT027,5375.305450433155
FDU14,OUT049,4053.444924587867
FDY47,OUT019,243.55931444167345
FDI56,OUT049,1560.4401248451381
DRD01,OUT013,995.8933416960758
FDM22,OUT046,954.2464993813408
FDH33,OUT013,734.9597527471851
DRZ24,OUT013,1916.306985093358
NCQ38,OUT046,1679.2784736218364
FDO16,OUT027,2829.574282234049
FDU07,OUT027,3833.488715026264
NCB07,OUT013,3082.50344550691
FDU48,OUT045,2046.204542029831
NCM43,OUT045,2542.634880358632
FDR31,OUT010,439.27158807861827
DRK49,OUT018,412.61296389008623
NCI30,OUT010,1918.6318362404754
DRD60,OUT017,2970.187616888372
NCG19,OUT046,3669.5404600868096
FDH12,OUT035,1835.5561184350568
FDM32,OUT035,1636.752140108073
FDM27,OUT035,2652.5728944769544
NCU53,OUT027,4061.520974341027
NCQ18,OUT046,1556.6131932735802
FDS10,OUT013,2881.134048626152
FDB33,OUT027,3971.539720468164
FDI12,OUT013,1462.565045828914
NCW42,OUT013,3506.589784223974
NCC06,OUT018,1762.1007792756527
FDW02,OUT017,2174.5816633327386
NCD43,OUT017,1772.256403974815
FDM57,OUT018,1114.2911151850878
FDA58,OUT017,3841.642854211963
FDK56,OUT046,2927.3905444047127
FDP52,OUT045,3626.6207841620435
FDW20,OUT018,1717.115088567347
FDS52,OUT049,1735.6979941690956
NCT29,OUT018,1620.2831977485184
NCL54,OUT013,2806.608999165973
FDC05,OUT045,3109.9340398261716
FDF34,OUT035,3321.8710873071755
FDP03,OUT027,3489.0338665696213
FDD32,OUT010,-515.8579070485703
FDZ10,OUT045,1972.3458705189882
FDZ40,OUT035,1054.7518258553373
FDD51,OUT018,452.44053018468003
NCY30,OUT019,939.8368720133437
FDP58,OUT017,3538.4621041458486
FDV49,OUT017,4286.513399236177
FDY24,OUT019,-1013.4408888870462
NCO55,OUT017,1797.1628029602034
FDR13,OUT017,2030.272167443185
FDS51,OUT017,1135.9673615739814
FDP26,OUT045,1606.5678855044284
NCB54,OUT027,3496.750952458804
FDF32,OUT017,3227.6618283799157
FDN31,OUT018,2724.9439551223295
DRM48,OUT017,695.6221623055242
FDN20,OUT049,2792.497995497044
DRL01,OUT046,3708.5478103844025
FDV56,OUT049,1877.828760991245
DRH13,OUT027,3179.6184936083196
FDA03,OUT017,2471.7441819111345
FDF47,OUT027,4985.681387653562
FDX32,OUT046,2370.7529151522554
FDX57,OUT049,1701.904740003199
NCA30,OUT045,2910.110209031144
FDO49,OUT013,908.6480696814497
FDL04,OUT019,-225.81343219304188
DRM48,OUT035,755.2088817402309
FDR16,OUT013,3430.427132801337
NCC19,OUT018,2749.174877390461
NCE42,OUT045,3635.6117686386533
FDY24,OUT017,1048.1936804397753
FDH19,OUT049,2890.8324227771764
FDJ46,OUT013,2794.5471857712064
FDN45,OUT010,1610.3587816687982
FDY08,OUT035,2400.7108963004675
FDZ37,OUT035,1607.1066530963612
NCT30,OUT045,699.6791612862178
DRY23,OUT018,452.0664822361348
NCZ30,OUT018,1661.8930575426325
FDC44,OUT018,1519.6776150143128
FDB45,OUT035,1837.789635746586
FDY04,OUT013,2674.400769084152
FDM27,OUT046,2573.5355730361443
FDZ43,OUT017,3961.211759994424
FDT39,OUT019,567.0194887458347
NCC06,OUT019,117.04803223902832
FDL15,OUT027,3903.9809133759345
FDL57,OUT017,4209.6563044944305
FDU08,OUT046,1605.9308822347693
FDK40,OUT017,4285.602981929365
FDQ12,OUT010,1716.915814080205
FDS48,OUT017,2522.8076444544977
FDP09,OUT045,3294.6602735996803
FDW21,OUT049,1758.0433421611688
FDY25,OUT035,3029.546301447396
DRE13,OUT017,1490.1541480416067
FDV43,OUT019,-1182.8331098641534
FDD22,OUT045,1723.981469995415
FDM46,OUT019,-439.3822389424291
NCO30,OUT010,1006.1477580508372
FDM25,OUT046,2807.183458715826
NCN41,OUT049,2041.5488502685112
FDU24,OUT045,1471.0024640268605
FDZ50,OUT046,2956.9899474865397
FDP45,OUT013,4051.2323326070427
NCM54,OUT045,1927.3324075789542
FDW10,OUT019,882.9145568119334
FDP20,OUT017,2153.8116351775034
FDK32,OUT046,2453.504147297833
FDN52,OUT049,1549.8735322084544
FDM58,OUT045,1758.690136639847
FDZ46,OUT027,3233.734287754123
NCA18,OUT018,1581.7827559554198
FDD35,OUT046,1965.1508466795726
NCK31,OUT035,956.2886308525467
FDI40,OUT027,3102.0340840997765
FDT50,OUT019,-297.5845636454236
NCT06,OUT046,2599.303369541794
FDT31,OUT035,3135.690750593514
FDT45,OUT049,983.4212325257258
FDT13,OUT045,2912.7573011706063
FDO50,OUT045,1402.2261217732369
NCU18,OUT010,306.6609330981913
NCR54,OUT049,3156.5947038899094
NCO18,OUT018,2538.231240565706
FDU09,OUT045,912.0525736255845
FDT13,OUT018,2710.484058133609
FDE09,OUT046,1818.4774191827432
NCK53,OUT019,-286.03365480139666
FDG45,OUT049,3477.977963280684
DRH15,OUT035,880.3838984436948
FDO21,OUT019,1707.388929508676
FDD14,OUT027,4351.922670885189
FDC09,OUT046,1707.4002100919915
FDH45,OUT027,2216.0385761392413
FDV32,OUT046,1069.3801780359167
FDG12,OUT035,2116.5674471377943
FDS32,OUT013,2319.0304046388032
NCL55,OUT018,3663.9159695014123
DRE01,OUT035,3954.0991827309817
DRE15,OUT049,1349.5168549419082
NCL42,OUT045,3809.068601025404
FDP31,OUT013,1101.0383785127156
FDN33,OUT018,1270.378060111742
FDZ59,OUT046,2660.545986827455
FDE45,OUT010,925.0163154301172
FDJ07,OUT013,1948.5518680051046
FDQ45,OUT018,2709.4583831665427
FDM33,OUT027,4914.977639814107
FDO15,OUT010,-619.5296941500746
FDM46,OUT013,1511.1510004297543
FDR03,OUT045,3245.184638971077
FDY49,OUT018,2423.992360111633
FDQ60,OUT045,1875.2902563606963
FDW10,OUT049,2892.3004437678833
FDO51,OUT049,902.0237172136767
FDJ40,OUT018,1520.732676808765
FDS20,OUT018,2623.311724131607
FDU45,OUT013,1887.5105330225406
FDV02,OUT035,2838.661537470704
FDN09,OUT046,3835.4080299093657
NCM55,OUT027,4386.665920711359
FDN23,OUT018,2076.4550479576205
FDY31,OUT010,411.53485744053853
FDW03,OUT010,-139.75569878007116
FDD14,OUT046,2884.065885285049
FDV23,OUT017,2110.5333103466437
DRI03,OUT045,2722.7258137180725
FDN13,OUT035,1725.8411285719699
FDF45,OUT027,2494.8769182587184
FDU46,OUT035,1620.8309568220034
FDB57,OUT049,3664.9389420945336
FDV12,OUT049,1746.5430241126546
FDQ58,OUT013,2457.2941168576817
NCA18,OUT017,1943.2671522158703
FDH52,OUT049,1154.7344262370752
FDM24,OUT018,2161.2449003264865
NCP43,OUT027,4309.219445789663
NCO18,OUT019,891.7006830289199
FDM32,OUT017,1588.1823073808455
NCL07,OUT017,733.541803263849
FDK03,OUT013,4070.2575095063003
FDP59,OUT017,1793.4554766820333
FDQ24,OUT049,4055.025058209142
FDQ16,OUT018,1489.8317681421313
FDU44,OUT013,2633.987513474126
FDH28,OUT010,-1235.564491392758
FDV28,OUT019,-1285.2419432512695
FDM22,OUT045,876.3594406901248
FDR56,OUT046,3141.8604767726283
FDV39,OUT049,3234.1029885833373
FDU37,OUT019,-564.8380263522113
FDQ11,OUT010,2187.253821351616
FDX02,OUT045,3469.5002237270123
NCS42,OUT018,1197.8349573376845
FDY57,OUT027,3011.888967877724
FDB21,OUT049,3903.598649530497
FDE28,OUT017,3767.0462517264386
FDQ55,OUT017,1979.4308629341963
FDA48,OUT049,3609.013531869663
FDZ19,OUT045,2701.6323358560403
NCC43,OUT045,3887.2821292349054
NCV18,OUT046,1300.6866757566381
NCA42,OUT018,2242.14308390876
FDY45,OUT046,4054.107436623388
NCC30,OUT045,2752.805677220346
FDM57,OUT013,1459.3399688309453
FDL09,OUT010,748.3273203605031
FDB09,OUT027,3453.9972349595537
FDT44,OUT035,2042.134015685498
NCT06,OUT027,4044.666567077071
FDX26,OUT049,3001.0446498301835
FDK32,OUT013,2515.7806750576706
DRA12,OUT046,2273.080751953073
FDO46,OUT010,1127.5906654172281
FDE52,OUT013,1490.5487984393767
NCH42,OUT045,3555.487484806409
FDV08,OUT035,870.4381170396819
FDB47,OUT018,3061.464210327714
FDC28,OUT010,-132.6190453070693
FDD22,OUT046,1823.1263710083745
FDS07,OUT027,3295.4236887010834
DRI13,OUT045,3359.4599675033546
FDG32,OUT018,3221.718144858417
FDU14,OUT017,4061.299177345032
FDD28,OUT019,-922.9081330905731
NCP41,OUT017,1849.5213189747296
FDS08,OUT049,2886.4031694276914
FDX47,OUT045,2495.116767833712
FDC53,OUT019,-256.6170736324292
FDQ19,OUT035,4012.7418601013314
FDL14,OUT045,2453.8367874481855
FDM33,OUT019,1588.9963759218085
FDA51,OUT045,1774.632128672752
FDZ27,OUT018,554.3534454302235
FDT04,OUT046,689.7184764351803
DRC13,OUT049,2133.806734835362
FDR16,OUT027,4883.174421221881
FDQ03,OUT027,5224.033190730264
FDE38,OUT035,2823.1548974566504
DRH23,OUT027,2356.981888100167
FDT11,OUT019,1134.8178938982423
FDD09,OUT035,3009.834210458416
FDR40,OUT045,1310.6857811168268
FDX07,OUT017,3066.0353445410556
FDR07,OUT035,1705.6009677574807
FDA51,OUT017,1961.7330577977987
FDT59,OUT019,1760.085435891015
FDF20,OUT017,3205.877511485701
FDR13,OUT045,1830.6096551150886
FDY26,OUT049,3472.9095811629445
FDW04,OUT017,2228.944854671032
FDK52,OUT017,3686.901526611491
FDN60,OUT049,2593.7493136319968
FDM09,OUT019,848.8659840261203
FDP46,OUT049,1520.7765403842818
FDB50,OUT019,-646.9701796633985
NCQ29,OUT049,4147.108982154877
FDP16,OUT027,5333.950774555599
FDX33,OUT018,2321.830386643627
FDP07,OUT010,1187.979359511577
FDN22,OUT046,3988.086663953686
FDF39,OUT049,4268.549711574952
FDS21,OUT017,1156.220732807559
NCM42,OUT013,1743.461923157426
FDK50,OUT019,716.1298744553005
DRF13,OUT027,3788.287971518259
FDH35,OUT018,2331.945888256258
FDP60,OUT018,1330.893635026881
DRJ49,OUT027,3530.9832439617758
NCT42,OUT019,454.0173632818621
FDE38,OUT049,2774.4852753094797
FDI04,OUT049,3286.7926941526002
NCH54,OUT045,2418.164351700455
FDT56,OUT049,1101.824154950651
DRD15,OUT018,3384.875858828304
FDV58,OUT013,3101.7639130160474
FDP21,OUT049,3121.876431208218
FDH05,OUT013,3747.287286835789
FDR10,OUT027,4036.839548758978
NCP06,OUT045,2290.309298102307
FDF33,OUT049,1826.6753614490513
DRK37,OUT013,3009.044389695708
DRH49,OUT045,1281.9460665939098
FDT58,OUT013,2693.914460123639
FDD41,OUT018,1446.4246532193076
FDP40,OUT018,1553.9943389234936
FDM51,OUT027,3143.0934809924647
FDO45,OUT010,-462.87231838482217
FDW33,OUT010,-213.14883341446807
FDY24,OUT045,880.2122743247869
FDB10,OUT010,1837.4654969540757
FDM40,OUT035,2388.193237265266
NCI06,OUT017,2954.404792000433
FDW12,OUT019,444.49430984718674
FDX48,OUT027,3967.838627164916
NCW05,OUT027,3129.2744175815596
FDX27,OUT017,1669.0555525042982
DRM37,OUT045,3050.9394735982555
FDA38,OUT045,3763.4225239494235
FDR36,OUT046,714.861481401351
FDZ45,OUT046,3151.5753135085083
FDG05,OUT017,2666.023211304146
FDK28,OUT013,4117.574947353473
FDV47,OUT045,1326.140660062623
FDN21,OUT045,2482.978550904188
FDP20,OUT027,3494.0511620384914
FDI35,OUT045,2824.5247422383113
DRY23,OUT013,781.5977389368186
FDA56,OUT017,2088.575717490322
FDB09,OUT013,2007.6112498963253
NCO26,OUT027,3305.5679716270033
FDQ49,OUT018,2262.4465102925146
FDI52,OUT027,3405.576420486292
FDZ44,OUT027,3344.459741052762
FDZ09,OUT018,2328.4866829057983
FDY03,OUT049,1953.3053864109875
NCG42,OUT017,2158.9415519665154
DRI13,OUT027,4896.655686912468
FDQ32,OUT013,2088.7012312629845
FDW16,OUT035,1664.3606976994506
FDU27,OUT046,804.8353354009134
FDR28,OUT010,730.5288959624945
FDQ49,OUT010,649.043608096194
FDS37,OUT046,1877.7714400372888
FDW26,OUT018,3245.554189296744
FDX12,OUT018,3582.1310763806687
NCP06,OUT013,2409.6981994332327
FDW45,OUT010,407.81202004243653
NCN30,OUT049,1609.5348119322643
FDN24,OUT049,971.2002242365143
NCL41,OUT027,1998.9066817018788
FDR02,OUT019,-121.30817019157519
FDD09,OUT010,972.0623389631223
FDS33,OUT010,-457.05028246626784
FDU22,OUT045,1846.3429597402178
FDI53,OUT013,2646.2528404979716
DRH01,OUT049,2864.620470760088
FDX32,OUT013,2347.4805477719005
NCP30,OUT018,377.65730551405943
FDB60,OUT045,3050.441579220547
FDB14,OUT049,1638.8601862520813
NCP02,OUT035,1087.943185750621
FDJ10,OUT017,2378.352297230445
FDG34,OUT046,1821.5969839908935
NCB18,OUT017,1504.0936771219917
FDM16,OUT049,1364.0515189416942
FDW25,OUT018,1103.220790432548
FDB35,OUT010,-396.7817064319986
DRN11,OUT013,2282.7371909433095
FDF41,OUT019,1992.0492117675935
FDH16,OUT045,1368.1651764164324
NCQ50,OUT018,3065.488504034525
DRH23,OUT018,630.0530890172729
DRJ37,OUT013,2439.755718446914
DRJ24,OUT027,4357.397129584517
FDY16,OUT035,3089.8810324785995
FDQ27,OUT045,1679.580714828705
FDZ33,OUT045,2295.3253689540825
FDF29,OUT045,2086.019347730369
FDA08,OUT049,2741.1709116966917
FDG31,OUT046,1074.2372145738632
FDE34,OUT019,1021.4404789623363
NCR30,OUT027,2629.0161274201973
FDV33,OUT035,4272.479402619665
DRZ24,OUT018,1640.4102999357665
NCL54,OUT035,2871.682285953304
FDR12,OUT049,2896.3875446919074
NCC54,OUT046,3784.906308258436
DRN59,OUT013,787.2251104340235
FDX50,OUT019,-130.09283682255443
FDV31,OUT027,4276.7053742802145
NCA29,OUT027,4180.001701989522
FDW60,OUT049,2965.6443503669084
FDX08,OUT017,3011.6943572461228
DRD49,OUT013,3730.4078025314493
FDD33,OUT046,3647.429380547893
FDW35,OUT013,762.4654522907445
FDJ36,OUT017,1790.5205473355636
FDV51,OUT035,2798.4393626540545
FDW36,OUT046,1719.1114675449153
FDH35,OUT046,2628.6984469366885
NCS30,OUT027,3513.575436218241
FDN49,OUT017,783.368962774053
FDL08,OUT018,3615.4010584223206
FDI09,OUT013,3847.83735127843
FDP19,OUT018,1772.5370815436027
FDU21,OUT010,-1307.0283996917308
NCP41,OUT045,1648.2924564656023
FDY10,OUT013,1844.090651328329
FDP12,OUT018,396.1161636785806
NCN26,OUT049,1945.0833212254483
FDK44,OUT013,2789.6395522101584
FDC28,OUT049,1860.260840936986
FDJ41,OUT027,5615.944550982956
NCT29,OUT035,2098.8416825313193
NCH42,OUT019,1694.6485846619107
FDU60,OUT018,2421.781263148975
FDS02,OUT045,3021.193095180765
FDC51,OUT046,2030.4662398839632
FDU03,OUT013,2964.127729479124
FDX39,OUT045,3330.5883531007635
NCY05,OUT010,-1312.4245606549528
NCL06,OUT027,5525.162733519141
FDD32,OUT035,1487.9807705009875
NCN41,OUT045,1874.633676409388
NCX53,OUT049,2338.554274203188
FDU57,OUT019,520.5591041865669
FDQ23,OUT046,1691.6981675414922
FDQ52,OUT045,3850.872456517397
FDC14,OUT045,662.824044949562
FDY09,OUT035,2962.7300754443745
FDQ28,OUT045,2468.070643860664
FDV25,OUT046,3507.3466124842193
FDJ07,OUT035,2027.6360943818572
DRB25,OUT049,1790.4663865693733
FDK52,OUT019,1658.2624897351584
FDY52,OUT027,2506.7214090508683
FDB28,OUT046,3134.6914328067564
FDT36,OUT035,755.2915681479753
FDV25,OUT017,3628.0986062547454
NCN07,OUT027,3519.12801424063
FDC57,OUT017,3210.220805380193
FDQ03,OUT018,3503.3153097345926
FDU23,OUT017,2774.0982954957904
NCX41,OUT035,3491.829720403863
NCD06,OUT035,895.0164301478785
FDW08,OUT045,1633.0061999572254
NCU29,OUT017,2405.0677780400442
NCE06,OUT013,2565.611592698178
FDV52,OUT010,-9.427177313600055
FDB02,OUT017,2963.464637465135
NCR18,OUT045,640.4840285444523
FDK16,OUT049,1628.080208347968
NCQ29,OUT010,2123.067042445935
FDZ01,OUT019,-167.4814415059817
FDW27,OUT035,2672.769269323641
FDD17,OUT018,3495.0278247182678
FDW39,OUT013,2890.902515056964
DRH59,OUT045,1108.1571157486856
FDS52,OUT013,1689.7097277974704
FDU40,OUT027,4554.527849481426
NCF54,OUT013,2765.6906918924374
FDH46,OUT045,1642.4539016784256
NCP14,OUT049,1733.5947109312651
FDH50,OUT049,3078.9685304407617
DRF15,OUT010,522.2771469390682
FDV27,OUT027,2918.6375273991544
NCJ06,OUT049,2001.960141018023
FDN02,OUT018,2975.5076759381072
FDQ51,OUT049,923.5477211774014
FDQ07,OUT017,3663.7036509652853
FDS45,OUT049,1847.870628524572
NCJ06,OUT045,1852.158713522731
FDD36,OUT035,2037.9746150662168
FDY25,OUT045,2840.413411303365
FDU52,OUT046,2474.095504145861
DRK47,OUT017,3682.519553177951
NCL30,OUT017,2134.4615914533597
FDN22,OUT035,4143.446706515697
